Sun Feb  3 22:10:24 EET 2019

setting things for Taito!
----------------------------------------------------------------------------
  Setting up new environment, removing all currently loaded modules
----------------------------------------------------------------------------
  Loading new modules:
    python-env/intelpython3.6-2018.3    cuda/9.0
    gcc/5.4.0                           cudnn/7.1-cuda9
Loading application Intel Distribution for Python 2018 update 3 
IntelDistributionpython3andConda nil environment loaded
 
To list available conda environments, please run command:
    conda env list
 
To activate a specific conda environment, please run command:
    source activate environment-name
 
To deactivate qiime environment, run command: 
    source deactivate
RNN Language MODEL: Loading gigaword corpus
| epoch 1.000000 | 200.000000/12797.171429 batches | lr 20.00 | 15.65 ms/batch | loss  9.06 |  8621.03 ppl
| epoch 1.000000 | 400.000000/12797.171429 batches | lr 20.00 | 13.76 ms/batch | loss  7.89 |  2661.92 ppl
| epoch 1.000000 | 600.000000/12797.171429 batches | lr 20.00 | 13.77 ms/batch | loss  7.51 |  1831.10 ppl
| epoch 1.000000 | 800.000000/12797.171429 batches | lr 20.00 | 13.72 ms/batch | loss  7.28 |  1448.14 ppl
| epoch 1.000000 | 1000.000000/12797.171429 batches | lr 20.00 | 13.80 ms/batch | loss  7.06 |  1161.28 ppl
| epoch 1.000000 | 1200.000000/12797.171429 batches | lr 20.00 | 13.77 ms/batch | loss  6.92 |  1013.07 ppl
| epoch 1.000000 | 1400.000000/12797.171429 batches | lr 20.00 | 13.73 ms/batch | loss  6.82 |   918.64 ppl
| epoch 1.000000 | 1600.000000/12797.171429 batches | lr 20.00 | 13.73 ms/batch | loss  6.65 |   775.11 ppl
| epoch 1.000000 | 1800.000000/12797.171429 batches | lr 20.00 | 13.74 ms/batch | loss  6.59 |   724.72 ppl
| epoch 1.000000 | 2000.000000/12797.171429 batches | lr 20.00 | 13.82 ms/batch | loss  6.54 |   694.44 ppl
| epoch 1.000000 | 2200.000000/12797.171429 batches | lr 20.00 | 13.78 ms/batch | loss  6.44 |   627.04 ppl
| epoch 1.000000 | 2400.000000/12797.171429 batches | lr 20.00 | 13.77 ms/batch | loss  6.37 |   585.70 ppl
| epoch 1.000000 | 2600.000000/12797.171429 batches | lr 20.00 | 13.71 ms/batch | loss  6.43 |   622.49 ppl
| epoch 1.000000 | 2800.000000/12797.171429 batches | lr 20.00 | 13.80 ms/batch | loss  6.46 |   637.74 ppl
| epoch 1.000000 | 3000.000000/12797.171429 batches | lr 20.00 | 13.76 ms/batch | loss  6.30 |   547.12 ppl
| epoch 1.000000 | 3200.000000/12797.171429 batches | lr 20.00 | 13.77 ms/batch | loss  6.30 |   544.41 ppl
| epoch 1.000000 | 3400.000000/12797.171429 batches | lr 20.00 | 13.83 ms/batch | loss  6.32 |   555.40 ppl
| epoch 1.000000 | 3600.000000/12797.171429 batches | lr 20.00 | 13.76 ms/batch | loss  6.30 |   542.72 ppl
| epoch 1.000000 | 3800.000000/12797.171429 batches | lr 20.00 | 13.77 ms/batch | loss  6.28 |   533.55 ppl
| epoch 1.000000 | 4000.000000/12797.171429 batches | lr 20.00 | 13.73 ms/batch | loss  6.25 |   520.53 ppl
| epoch 1.000000 | 4200.000000/12797.171429 batches | lr 20.00 | 13.75 ms/batch | loss  6.28 |   534.47 ppl
| epoch 1.000000 | 4400.000000/12797.171429 batches | lr 20.00 | 13.77 ms/batch | loss  6.27 |   527.19 ppl
| epoch 1.000000 | 4600.000000/12797.171429 batches | lr 20.00 | 13.73 ms/batch | loss  6.24 |   510.51 ppl
| epoch 1.000000 | 4800.000000/12797.171429 batches | lr 20.00 | 13.78 ms/batch | loss  6.20 |   492.19 ppl
| epoch 1.000000 | 5000.000000/12797.171429 batches | lr 20.00 | 13.73 ms/batch | loss  6.27 |   529.98 ppl
| epoch 1.000000 | 5200.000000/12797.171429 batches | lr 20.00 | 13.77 ms/batch | loss  6.28 |   531.81 ppl
| epoch 1.000000 | 5400.000000/12797.171429 batches | lr 20.00 | 13.75 ms/batch | loss  6.29 |   537.77 ppl
| epoch 1.000000 | 5600.000000/12797.171429 batches | lr 20.00 | 13.79 ms/batch | loss  6.20 |   494.51 ppl
| epoch 1.000000 | 5800.000000/12797.171429 batches | lr 20.00 | 13.73 ms/batch | loss  6.20 |   491.26 ppl
| epoch 1.000000 | 6000.000000/12797.171429 batches | lr 20.00 | 13.80 ms/batch | loss  6.16 |   473.08 ppl
| epoch 1.000000 | 6200.000000/12797.171429 batches | lr 20.00 | 13.81 ms/batch | loss  6.14 |   465.83 ppl
| epoch 1.000000 | 6400.000000/12797.171429 batches | lr 20.00 | 13.76 ms/batch | loss  6.11 |   450.94 ppl
| epoch 1.000000 | 6600.000000/12797.171429 batches | lr 20.00 | 13.79 ms/batch | loss  6.15 |   466.74 ppl
| epoch 1.000000 | 6800.000000/12797.171429 batches | lr 20.00 | 13.79 ms/batch | loss  6.12 |   455.70 ppl
| epoch 1.000000 | 7000.000000/12797.171429 batches | lr 20.00 | 13.72 ms/batch | loss  6.16 |   475.26 ppl
| epoch 1.000000 | 7200.000000/12797.171429 batches | lr 20.00 | 13.78 ms/batch | loss  6.16 |   473.17 ppl
| epoch 1.000000 | 7400.000000/12797.171429 batches | lr 20.00 | 13.74 ms/batch | loss  6.17 |   479.16 ppl
| epoch 1.000000 | 7600.000000/12797.171429 batches | lr 20.00 | 13.77 ms/batch | loss  6.20 |   494.28 ppl
| epoch 1.000000 | 7800.000000/12797.171429 batches | lr 20.00 | 13.73 ms/batch | loss  6.15 |   468.69 ppl
| epoch 1.000000 | 8000.000000/12797.171429 batches | lr 20.00 | 13.76 ms/batch | loss  6.14 |   466.03 ppl
| epoch 1.000000 | 8200.000000/12797.171429 batches | lr 20.00 | 13.75 ms/batch | loss  6.08 |   437.88 ppl
