Wed Feb  6 11:55:23 EET 2019

setting things for Taito!
----------------------------------------------------------------------------
  Setting up new environment, removing all currently loaded modules
----------------------------------------------------------------------------
  Loading new modules:
    python-env/intelpython3.6-2018.3    cuda/9.0
    gcc/5.4.0                           cudnn/7.1-cuda9
Loading application Intel Distribution for Python 2018 update 3 
IntelDistributionpython3andConda nil environment loaded
 
To list available conda environments, please run command:
    conda env list
 
To activate a specific conda environment, please run command:
    source activate environment-name
 
To deactivate qiime environment, run command: 
    source deactivate
RNN Language MODEL: Loading gigaword corpus
| epoch 1.000000 | 200.000000/12797.171429 batches | lr 20.00 | 33.60 ms/batch | loss  6.00 |   404.71 ppl
| epoch 1.000000 | 400.000000/12797.171429 batches | lr 20.00 | 31.16 ms/batch | loss  2.66 |    14.25 ppl
| epoch 1.000000 | 600.000000/12797.171429 batches | lr 20.00 | 31.11 ms/batch | loss  1.82 |     6.16 ppl
| epoch 1.000000 | 800.000000/12797.171429 batches | lr 20.00 | 31.14 ms/batch | loss  1.48 |     4.39 ppl
| epoch 1.000000 | 1000.000000/12797.171429 batches | lr 20.00 | 31.14 ms/batch | loss  1.24 |     3.47 ppl
| epoch 1.000000 | 1200.000000/12797.171429 batches | lr 20.00 | 31.10 ms/batch | loss  1.13 |     3.08 ppl
| epoch 1.000000 | 1400.000000/12797.171429 batches | lr 20.00 | 31.09 ms/batch | loss  1.05 |     2.86 ppl
| epoch 1.000000 | 1600.000000/12797.171429 batches | lr 20.00 | 31.13 ms/batch | loss  0.95 |     2.60 ppl
| epoch 1.000000 | 1800.000000/12797.171429 batches | lr 20.00 | 31.11 ms/batch | loss  0.91 |     2.48 ppl
| epoch 1.000000 | 2000.000000/12797.171429 batches | lr 20.00 | 31.18 ms/batch | loss  0.84 |     2.33 ppl
| epoch 1.000000 | 2200.000000/12797.171429 batches | lr 20.00 | 31.12 ms/batch | loss  0.82 |     2.27 ppl
| epoch 1.000000 | 2400.000000/12797.171429 batches | lr 20.00 | 31.09 ms/batch | loss  0.79 |     2.21 ppl
| epoch 1.000000 | 2600.000000/12797.171429 batches | lr 20.00 | 31.11 ms/batch | loss  0.77 |     2.16 ppl
| epoch 1.000000 | 2800.000000/12797.171429 batches | lr 20.00 | 31.12 ms/batch | loss  0.76 |     2.15 ppl
| epoch 1.000000 | 3000.000000/12797.171429 batches | lr 20.00 | 31.13 ms/batch | loss  0.72 |     2.06 ppl
| epoch 1.000000 | 3200.000000/12797.171429 batches | lr 20.00 | 31.20 ms/batch | loss  0.71 |     2.04 ppl
| epoch 1.000000 | 3400.000000/12797.171429 batches | lr 20.00 | 31.11 ms/batch | loss  0.71 |     2.04 ppl
| epoch 1.000000 | 3600.000000/12797.171429 batches | lr 20.00 | 31.08 ms/batch | loss  0.69 |     1.99 ppl
| epoch 1.000000 | 3800.000000/12797.171429 batches | lr 20.00 | 31.14 ms/batch | loss  0.67 |     1.95 ppl
| epoch 1.000000 | 4000.000000/12797.171429 batches | lr 20.00 | 31.15 ms/batch | loss  0.66 |     1.94 ppl
| epoch 1.000000 | 4200.000000/12797.171429 batches | lr 20.00 | 31.11 ms/batch | loss  0.65 |     1.92 ppl
| epoch 1.000000 | 4400.000000/12797.171429 batches | lr 20.00 | 31.15 ms/batch | loss  0.65 |     1.91 ppl
| epoch 1.000000 | 4600.000000/12797.171429 batches | lr 20.00 | 31.11 ms/batch | loss  0.64 |     1.90 ppl
| epoch 1.000000 | 4800.000000/12797.171429 batches | lr 20.00 | 31.09 ms/batch | loss  0.63 |     1.87 ppl
| epoch 1.000000 | 5000.000000/12797.171429 batches | lr 20.00 | 31.12 ms/batch | loss  0.63 |     1.88 ppl
| epoch 1.000000 | 5200.000000/12797.171429 batches | lr 20.00 | 31.11 ms/batch | loss  0.63 |     1.88 ppl
| epoch 1.000000 | 5400.000000/12797.171429 batches | lr 20.00 | 31.11 ms/batch | loss  0.62 |     1.85 ppl
| epoch 1.000000 | 5600.000000/12797.171429 batches | lr 20.00 | 31.10 ms/batch | loss  0.60 |     1.83 ppl
| epoch 1.000000 | 5800.000000/12797.171429 batches | lr 20.00 | 31.14 ms/batch | loss  0.60 |     1.82 ppl
| epoch 1.000000 | 6000.000000/12797.171429 batches | lr 20.00 | 31.11 ms/batch | loss  0.60 |     1.82 ppl
| epoch 1.000000 | 6200.000000/12797.171429 batches | lr 20.00 | 31.12 ms/batch | loss  0.58 |     1.79 ppl
| epoch 1.000000 | 6400.000000/12797.171429 batches | lr 20.00 | 31.10 ms/batch | loss  0.59 |     1.80 ppl
| epoch 1.000000 | 6600.000000/12797.171429 batches | lr 20.00 | 31.11 ms/batch | loss  0.59 |     1.81 ppl
| epoch 1.000000 | 6800.000000/12797.171429 batches | lr 20.00 | 31.10 ms/batch | loss  0.58 |     1.79 ppl
| epoch 1.000000 | 7000.000000/12797.171429 batches | lr 20.00 | 31.09 ms/batch | loss  0.58 |     1.79 ppl
| epoch 1.000000 | 7200.000000/12797.171429 batches | lr 20.00 | 31.12 ms/batch | loss  0.59 |     1.80 ppl
| epoch 1.000000 | 7400.000000/12797.171429 batches | lr 20.00 | 31.10 ms/batch | loss  0.59 |     1.80 ppl
| epoch 1.000000 | 7600.000000/12797.171429 batches | lr 20.00 | 31.11 ms/batch | loss  0.58 |     1.79 ppl
| epoch 1.000000 | 7800.000000/12797.171429 batches | lr 20.00 | 31.17 ms/batch | loss  0.58 |     1.79 ppl
| epoch 1.000000 | 8000.000000/12797.171429 batches | lr 20.00 | 31.09 ms/batch | loss  0.57 |     1.77 ppl
| epoch 1.000000 | 8200.000000/12797.171429 batches | lr 20.00 | 31.09 ms/batch | loss  0.56 |     1.76 ppl
| epoch 1.000000 | 8400.000000/12797.171429 batches | lr 20.00 | 31.14 ms/batch | loss  0.56 |     1.75 ppl
| epoch 1.000000 | 8600.000000/12797.171429 batches | lr 20.00 | 31.10 ms/batch | loss  0.57 |     1.76 ppl
