Tue Feb  5 22:18:40 EET 2019

setting things for Taito!
----------------------------------------------------------------------------
  Setting up new environment, removing all currently loaded modules
----------------------------------------------------------------------------
  Loading new modules:
    python-env/intelpython3.6-2018.3    cuda/9.0
    gcc/5.4.0                           cudnn/7.1-cuda9
Loading application Intel Distribution for Python 2018 update 3 
IntelDistributionpython3andConda nil environment loaded
 
To list available conda environments, please run command:
    conda env list
 
To activate a specific conda environment, please run command:
    source activate environment-name
 
To deactivate qiime environment, run command: 
    source deactivate
RNN Language MODEL: Loading gigaword corpus
| epoch 1.000000 | 200.000000/12797.171429 batches | lr 20.00 | 38.76 ms/batch | loss  5.85 |   348.04 ppl
| epoch 1.000000 | 400.000000/12797.171429 batches | lr 20.00 | 14.56 ms/batch | loss  3.02 |    20.44 ppl
| epoch 1.000000 | 600.000000/12797.171429 batches | lr 20.00 | 14.56 ms/batch | loss  2.21 |     9.15 ppl
| epoch 1.000000 | 800.000000/12797.171429 batches | lr 20.00 | 14.56 ms/batch | loss  1.86 |     6.43 ppl
| epoch 1.000000 | 1000.000000/12797.171429 batches | lr 20.00 | 14.52 ms/batch | loss  1.57 |     4.83 ppl
| epoch 1.000000 | 1200.000000/12797.171429 batches | lr 20.00 | 14.44 ms/batch | loss  1.41 |     4.12 ppl
| epoch 1.000000 | 1400.000000/12797.171429 batches | lr 20.00 | 14.37 ms/batch | loss  1.32 |     3.73 ppl
| epoch 1.000000 | 1600.000000/12797.171429 batches | lr 20.00 | 14.32 ms/batch | loss  1.18 |     3.27 ppl
| epoch 1.000000 | 1800.000000/12797.171429 batches | lr 20.00 | 14.29 ms/batch | loss  1.12 |     3.06 ppl
| epoch 1.000000 | 2000.000000/12797.171429 batches | lr 20.00 | 14.29 ms/batch | loss  1.03 |     2.79 ppl
| epoch 1.000000 | 2200.000000/12797.171429 batches | lr 20.00 | 14.28 ms/batch | loss  0.98 |     2.66 ppl
| epoch 1.000000 | 2400.000000/12797.171429 batches | lr 20.00 | 14.28 ms/batch | loss  0.94 |     2.57 ppl
| epoch 1.000000 | 2600.000000/12797.171429 batches | lr 20.00 | 14.28 ms/batch | loss  0.92 |     2.51 ppl
| epoch 1.000000 | 2800.000000/12797.171429 batches | lr 20.00 | 14.28 ms/batch | loss  0.91 |     2.48 ppl
| epoch 1.000000 | 3000.000000/12797.171429 batches | lr 20.00 | 14.28 ms/batch | loss  0.85 |     2.33 ppl
| epoch 1.000000 | 3200.000000/12797.171429 batches | lr 20.00 | 14.28 ms/batch | loss  0.84 |     2.31 ppl
| epoch 1.000000 | 3400.000000/12797.171429 batches | lr 20.00 | 14.28 ms/batch | loss  0.83 |     2.29 ppl
| epoch 1.000000 | 3600.000000/12797.171429 batches | lr 20.00 | 14.29 ms/batch | loss  0.79 |     2.21 ppl
| epoch 1.000000 | 3800.000000/12797.171429 batches | lr 20.00 | 14.28 ms/batch | loss  0.77 |     2.17 ppl
| epoch 1.000000 | 4000.000000/12797.171429 batches | lr 20.00 | 14.29 ms/batch | loss  0.76 |     2.14 ppl
| epoch 1.000000 | 4200.000000/12797.171429 batches | lr 20.00 | 14.28 ms/batch | loss  0.75 |     2.11 ppl
| epoch 1.000000 | 4400.000000/12797.171429 batches | lr 20.00 | 14.29 ms/batch | loss  0.74 |     2.09 ppl
| epoch 1.000000 | 4600.000000/12797.171429 batches | lr 20.00 | 14.28 ms/batch | loss  0.72 |     2.06 ppl
| epoch 1.000000 | 4800.000000/12797.171429 batches | lr 20.00 | 14.27 ms/batch | loss  0.71 |     2.03 ppl
| epoch 1.000000 | 5000.000000/12797.171429 batches | lr 20.00 | 14.27 ms/batch | loss  0.72 |     2.04 ppl
| epoch 1.000000 | 5200.000000/12797.171429 batches | lr 20.00 | 14.28 ms/batch | loss  0.71 |     2.03 ppl
| epoch 1.000000 | 5400.000000/12797.171429 batches | lr 20.00 | 14.28 ms/batch | loss  0.69 |     1.99 ppl
| epoch 1.000000 | 5600.000000/12797.171429 batches | lr 20.00 | 14.28 ms/batch | loss  0.66 |     1.94 ppl
| epoch 1.000000 | 5800.000000/12797.171429 batches | lr 20.00 | 14.28 ms/batch | loss  0.66 |     1.93 ppl
| epoch 1.000000 | 6000.000000/12797.171429 batches | lr 20.00 | 14.27 ms/batch | loss  0.66 |     1.93 ppl
| epoch 1.000000 | 6200.000000/12797.171429 batches | lr 20.00 | 14.28 ms/batch | loss  0.64 |     1.90 ppl
| epoch 1.000000 | 6400.000000/12797.171429 batches | lr 20.00 | 14.28 ms/batch | loss  0.64 |     1.91 ppl
| epoch 1.000000 | 6600.000000/12797.171429 batches | lr 20.00 | 14.28 ms/batch | loss  0.64 |     1.90 ppl
| epoch 1.000000 | 6800.000000/12797.171429 batches | lr 20.00 | 14.28 ms/batch | loss  0.63 |     1.88 ppl
| epoch 1.000000 | 7000.000000/12797.171429 batches | lr 20.00 | 14.27 ms/batch | loss  0.63 |     1.88 ppl
| epoch 1.000000 | 7200.000000/12797.171429 batches | lr 20.00 | 14.28 ms/batch | loss  0.64 |     1.90 ppl
| epoch 1.000000 | 7400.000000/12797.171429 batches | lr 20.00 | 14.27 ms/batch | loss  0.63 |     1.88 ppl
| epoch 1.000000 | 7600.000000/12797.171429 batches | lr 20.00 | 14.28 ms/batch | loss  0.63 |     1.87 ppl
| epoch 1.000000 | 7800.000000/12797.171429 batches | lr 20.00 | 14.27 ms/batch | loss  0.62 |     1.87 ppl
| epoch 1.000000 | 8000.000000/12797.171429 batches | lr 20.00 | 14.27 ms/batch | loss  0.61 |     1.84 ppl
| epoch 1.000000 | 8200.000000/12797.171429 batches | lr 20.00 | 14.27 ms/batch | loss  0.60 |     1.82 ppl
| epoch 1.000000 | 8400.000000/12797.171429 batches | lr 20.00 | 14.27 ms/batch | loss  0.59 |     1.81 ppl
| epoch 1.000000 | 8600.000000/12797.171429 batches | lr 20.00 | 14.27 ms/batch | loss  0.60 |     1.82 ppl
| epoch 1.000000 | 8800.000000/12797.171429 batches | lr 20.00 | 14.27 ms/batch | loss  0.60 |     1.81 ppl
| epoch 1.000000 | 9000.000000/12797.171429 batches | lr 20.00 | 14.27 ms/batch | loss  0.59 |     1.80 ppl
| epoch 1.000000 | 9200.000000/12797.171429 batches | lr 20.00 | 14.27 ms/batch | loss  0.59 |     1.80 ppl
| epoch 1.000000 | 9400.000000/12797.171429 batches | lr 20.00 | 14.28 ms/batch | loss  0.57 |     1.77 ppl
| epoch 1.000000 | 9600.000000/12797.171429 batches | lr 20.00 | 14.27 ms/batch | loss  0.57 |     1.78 ppl
| epoch 1.000000 | 9800.000000/12797.171429 batches | lr 20.00 | 14.28 ms/batch | loss  0.58 |     1.78 ppl
| epoch 1.000000 | 10000.000000/12797.171429 batches | lr 20.00 | 14.27 ms/batch | loss  0.57 |     1.77 ppl
| epoch 1.000000 | 10200.000000/12797.171429 batches | lr 20.00 | 14.28 ms/batch | loss  0.56 |     1.75 ppl
| epoch 1.000000 | 10400.000000/12797.171429 batches | lr 20.00 | 14.27 ms/batch | loss  0.55 |     1.74 ppl
| epoch 1.000000 | 10600.000000/12797.171429 batches | lr 20.00 | 14.27 ms/batch | loss  0.56 |     1.76 ppl
| epoch 1.000000 | 10800.000000/12797.171429 batches | lr 20.00 | 14.27 ms/batch | loss  0.55 |     1.74 ppl
| epoch 1.000000 | 11000.000000/12797.171429 batches | lr 20.00 | 14.28 ms/batch | loss  0.55 |     1.74 ppl
| epoch 1.000000 | 11200.000000/12797.171429 batches | lr 20.00 | 14.27 ms/batch | loss  0.55 |     1.73 ppl
| epoch 1.000000 | 11400.000000/12797.171429 batches | lr 20.00 | 14.27 ms/batch | loss  0.56 |     1.76 ppl
| epoch 1.000000 | 11600.000000/12797.171429 batches | lr 20.00 | 14.28 ms/batch | loss  0.55 |     1.73 ppl
| epoch 1.000000 | 11800.000000/12797.171429 batches | lr 20.00 | 14.27 ms/batch | loss  0.55 |     1.74 ppl
| epoch 1.000000 | 12000.000000/12797.171429 batches | lr 20.00 | 14.28 ms/batch | loss  0.55 |     1.73 ppl
| epoch 1.000000 | 12200.000000/12797.171429 batches | lr 20.00 | 14.27 ms/batch | loss  0.54 |     1.72 ppl
| epoch 1.000000 | 12400.000000/12797.171429 batches | lr 20.00 | 14.27 ms/batch | loss  0.54 |     1.72 ppl
| epoch 1.000000 | 12600.000000/12797.171429 batches | lr 20.00 | 14.27 ms/batch | loss  0.52 |     1.68 ppl
-----------------------------------------------------------------------------------------
| end of epoch   1 | time: 190.76s | valid loss  0.52 | valid ppl     1.68
-----------------------------------------------------------------------------------------

| epoch 2.000000 | 200.000000/12797.171429 batches | lr 20.00 | 14.35 ms/batch | loss  0.51 |     1.66 ppl
| epoch 2.000000 | 400.000000/12797.171429 batches | lr 20.00 | 14.27 ms/batch | loss  0.51 |     1.67 ppl
| epoch 2.000000 | 600.000000/12797.171429 batches | lr 20.00 | 14.28 ms/batch | loss  0.49 |     1.64 ppl
| epoch 2.000000 | 800.000000/12797.171429 batches | lr 20.00 | 14.27 ms/batch | loss  0.50 |     1.65 ppl
| epoch 2.000000 | 1000.000000/12797.171429 batches | lr 20.00 | 14.28 ms/batch | loss  0.49 |     1.63 ppl
